date,r_port,turnover,n_eff,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD
2025-09-08,0.009548343754817019,0.3999999510460089,2.2732453745475065,1.334953151265754e-07,0.5998746854682062,0.20012526557780264,2.0058438670186494e-08,0.19999989540023735
2025-09-09,0.0019595564598591654,0.5998746979789398,2.273244525533548,0.5998748230036672,0.0,0.2001252553290501,1.779645764400574e-08,0.199999903870825
2025-09-10,0.0026504805055172485,1.8406606415470075e-08,2.273244458351027,0.5998748371167868,2.2270240206618038e-09,0.2001252573955129,1.1286594653530967e-08,0.19999989197408155
2025-09-11,0.004113249303419891,1.4567324460941987e-09,2.273244454586127,0.5998748373269714,1.3028719395820443e-09,0.2001252586420607,1.0810382598223463e-08,0.19999989191771325
2025-09-12,0.002071978788675975,0.799874708059877,2.272727162758145,0.0,0.19987469774625718,0.20012528310964206,0.599999997959293,2.1184807752050258e-08
2025-09-15,0.010020460447677945,1.850097324160054e-08,2.2727271091272074,0.0,0.19987470087213585,0.20012529475920401,0.6000000016848257,2.683834550003924e-09
2025-09-16,0.012349896894660173,1.2513466835005851e-08,2.272727116831851,9.24482156965332e-10,0.19987469100455704,0.20012530634818865,0.5999999998635268,1.8592453690959102e-09
2025-09-17,-0.007635666095693331,4.733727666566796e-10,2.272727116547788,8.460160806044863e-10,0.19987469060965032,0.20012530643435286,0.6000000000121694,2.0978113502402213e-09
2025-09-18,-0.005121789983006185,3.604372089314618e-08,2.2727271908261226,3.632726094690883e-10,0.19987468964112845,0.20012527202629532,0.5999999998277714,3.814153230815646e-08
2025-09-19,0.005567661882355335,0.600000018522157,1.9230769875497224,2.087016082548466e-09,0.3999999789811243,0.5999999994847128,0.0,1.9447146730816724e-08
2025-09-22,-0.0020120113410983993,0.5999999946825741,1.9230770171271128,0.0,0.39999998361968314,6.889154904134706e-09,0.5999999897275687,1.9763593321474626e-08
2025-09-23,0.015716029443465698,2.1548600019427675e-08,1.9230769367113216,0.0,0.39999999390440916,5.258302460370117e-10,0.6000000009914427,4.578317900669928e-09
